,bittrex,huobi,poloniex,price,top_address_1,top_address_2,top_address_3,top_address_4,top_address_5,top_address_7,date
126,0.0,0.0,1014.63195802,1555.4713,84365.58433748,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-07
127,0.0,0.0,363.27004037,1639.3225,84660.09371748,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-08
128,48.084,0.0,1452.58025491,1706.9313,83686.66762678,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-09
129,0.0,0.0,1332.21623935,1756.8025,83472.60228608,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-10
130,0.0,0.0,276.7890933,1807.3725,80833.53756106,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-11
131,73.437,0.0,1837.7288758,1676.9938,76982.39928595,0.0,24350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-12
132,0.0,0.0,2208.23497144,1759.9613,78685.51708277,0.0,24350.993157299996,0.0,111439.8370977,111439.8370977,2017-05-13
133,0.0,0.0,1256.25940753,1772.4163,79371.29604591,0.0,24350.993157299996,0.0,111439.83751134,111439.83751134,2017-05-14
134,0.0,0.0,953.18591975,1697.3788,78713.39488516,0.0,24350.993157299996,0.0,111439.83751134,111439.83751134,2017-05-15
135,0.0,0.0,176.04218095,1718.2013,77713.39145441,0.0,26850.993157299996,0.0,111439.83751134,111439.83751134,2017-05-16
136,347.781,0.0,148.73129514,1802.1638,76713.38490717,0.0,26850.993157299996,0.0,111439.83751134,111439.83751134,2017-05-17
137,0.0,0.0,5500.90072772,1887.3263,77941.74897717,0.0,26850.993157299996,0.0,111439.83751134,111439.83751134,2017-05-18
138,69.835,0.0,4323.35231615,1968.1025,79133.41314717,0.0,29850.993157299996,0.0,111439.83761134,111439.83761134,2017-05-19
139,0.0,0.0,851.92030454,2051.735,84285.04766717,0.0,32850.9931573,0.0,111439.83761134,111439.83761134,2017-05-20
140,36.842,0.0,1337.3289411,2055.6175,85752.62546717,0.0,32850.9931573,0.0,111439.83761134,111439.83761134,2017-05-21
141,94.521,0.0,652.91422334,2139.0275,87771.97338717,0.0,32850.9931573,0.0,111439.83761134,111439.83761134,2017-05-22
142,0.0,0.0,744.11434562,2291.4775,95917.80426717,0.0,35850.99315730001,0.0,111439.83761134,111439.83761134,2017-05-23
143,0.0,0.0,2371.46202225,2476.2963,94907.40434255,0.0,35850.99315730001,0.0,111439.83861134,111439.83861134,2017-05-24
144,0.0,0.0,372.78007894,2357.5038,97960.13174355,0.0,35850.99315730001,0.0,111439.83861134,111439.83861134,2017-05-25
145,516.9202159900001,0.0,158.03833621,2247.4825,99098.85318313,0.0,35850.99315730001,0.0,111439.83861134,111439.83861134,2017-05-26
146,308.67644778,0.0,687.48398952,2106.3075,102266.19410313,0.0,35850.99315730001,0.0,111439.83861134,111439.83861134,2017-05-27
147,227.11732362,0.0,251.78847028,2207.5775,110117.16693313,0.0,35350.991565159995,0.0,111439.83861134,111439.83861134,2017-05-28
148,215.97837930999998,0.0,1366.69957346,2289.87,113617.22342313,0.0,35350.991565159995,0.0,111439.83861134,111439.83861134,2017-05-29
149,257.08892212,0.0,396.38814141,2197.2338,112785.91283392,0.0,35350.991565159995,0.0,111439.83861134,111439.83861134,2017-05-30
150,456.6967335,0.0,527.29188861,2330.2338,111935.95454725,0.0,35350.991565159995,0.0,111439.83861134,111439.83861134,2017-05-31
151,250.01021756,0.0,1370.30184684,2452.1813,112264.31201119,0.0,35350.991565159995,0.0,113843.83861134,113843.83861134,2017-06-01
152,2049.4752438,0.0,1194.30909273,2517.4088,112467.54247972,0.0,35350.991565159995,0.0,113843.83861134,113843.83861134,2017-06-02
153,4808.34418756,0.0,1481.49944497,2555.6538,112638.06145972,0.0,35350.991565159995,0.0,113843.83861134,113843.83861134,2017-06-03
154,9257.29922177,0.0,324.25403783,2552.8088,107442.41078828,0.0,35350.991565159995,0.0,113843.83861134,113843.83861134,2017-06-04
155,1230.95472877,0.0,3841.45839743,2736.595,104296.84720772,0.0,45350.99156516,0.0,113843.83861134,113843.83861134,2017-06-05
156,3910.12037082,0.0,2052.18694249,2914.0825,103296.83821754,0.0,45350.99156516,0.0,113843.83861134,113843.83861134,2017-06-06
157,533.81617023,0.0,291.97557652,2694.2188,108490.28300754,0.0,50350.99156516,0.0,113843.83861134,113843.83861134,2017-06-07
158,284.44650481,0.0,238.31964628,2825.0313,106355.4197106,0.0,50350.99156516,0.0,113843.83861134,113843.83861134,2017-06-08
159,651.82908996,0.0,423.87551811,2826.7,107668.5331606,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-09
160,1332.11257592,0.0,307.43161899,2942.345,106668.52136246,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-10
161,947.72263099,0.0,812.33357772,3018.545,108564.47012432,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-11
162,897.36799837,0.0,1824.18729426,2682.595,112925.60271618,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-12
163,2133.7333322,0.0,2793.15261009,2738.9313,122209.98397618,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-13
164,4007.28568881,0.0,3505.92091703,2494.485,122213.8429889,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-14
165,3068.9024925000003,0.0,3642.31277058,2456.9238,119915.61140163,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-15
166,2106.7852736699997,0.0,927.90361416,2528.1025,117939.77932836,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-16
167,1822.5854350700001,0.0,1149.02041025,2663.9975,114755.05648353,0.0,46600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-17
168,670.40586257,0.0,738.35228434,2576.1713,112210.76543859,0.0,51600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-18
169,931.19339143,0.0,1154.19557783,2641.665,115555.80924859,0.0,51600.997079659996,0.0,113843.83861134,113843.83861134,2017-06-19
170,1565.5811727,0.0,681.55460109,2778.8275,115933.31808775,0.0,51600.997079659996,0.0,113843.83864134,113843.83864134,2017-06-20
171,2834.7176776899996,0.0,153.84396532,2712.1575,116090.34029278,0.0,51600.99708512,0.0,113843.83879564,113843.83879564,2017-06-21
172,2034.6666736,0.0,237.56401043,2740.79,114487.05425038,0.0,51600.99708512,0.0,113843.83879564,113843.83879564,2017-06-22
173,2258.1000723899997,0.0,2728.66215841,2738.225,116617.74519656,0.0,51600.99708512,0.0,113843.83879564,113843.83879564,2017-06-23
174,3084.8124349199998,0.0,1003.56859068,2619.1188,116554.93610954,0.0,51600.99708512,0.0,113843.83879564,113843.83879564,2017-06-24
